company_name,status,size,suburb/town,state,ABN,URL
Jan Juc Surf Life Saving Club Inc,"
            Registered          ","
            Large          ","
            Torquay          ","
            VIC          ",21849701767,https://www.acnc.gov.au/charity/244b591ca01939fbc60eae4199a66da8
Kennett River Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Kennett River          ","
            VIC          ",74923037990,https://www.acnc.gov.au/charity/11a027a6435bef58825140c3684627f7
Kiama Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Information Unavailable          ","
            Information Unavailable          ",77671377278,https://www.acnc.gov.au/charity/826e372180733e4d1af19e737acc5a73
Kingston Beach Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Kingston Beach          ","
            TAS          ",88284300673,https://www.acnc.gov.au/charity/f62e62f450944535407d15d16a57dff9
Kirra Surf Life Saving Club_ACNC GROUP,"
            Registered          ","
            Small          ","
            Acncgroup          ","
            VIC          ",,https://www.acnc.gov.au/charity/619295a11a5721e9ef65c6479b4810d9
Mackay Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Outer Harbour Mackay          ","
            QLD          ",90501274674,https://www.acnc.gov.au/charity/c7923b892fb51d49374c9e5b8669173c
Margaret River Surf Lifesaving Club Inc,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",75027605340,https://www.acnc.gov.au/charity/e26acf324733fc76a35bddb6afd2c996
Metropolitan Caloundra Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Kings Beach          ","
            QLD          ",99632467963,https://www.acnc.gov.au/charity/031569befd8382f2d64309c9ded2f8d2
Mindil Beach Surf Life Saving Club,"
            Registered          ","
            Small          ","
            The Gardens          ","
            NT          ",83578543378,https://www.acnc.gov.au/charity/38e7537750c026ce473fbfefe3d047d3
Moana Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Moana          ","
            SA          ",19316049350,https://www.acnc.gov.au/charity/9cb3aca5d3eb57ecbeb6b434364e63a3
Mona Vale Surf Lifesaving Club Inc,"
            Registered          ","
            Medium          ","
            Mona Vale          ","
            NSW          ",55385251630,https://www.acnc.gov.au/charity/604f6963120d71cbf7d2289efb9289e4
Moore Park Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Moore Park Beach          ","
            QLD          ",51361537150,https://www.acnc.gov.au/charity/548e968e111f23a0aab4ad74c2044230
Mudjimba Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Mudjimba          ","
            QLD          ",88104132551,https://www.acnc.gov.au/charity/27cd21d63081530b41394c9e690b631c
Nambucca Heads Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Nambucca Heads          ","
            NSW          ",72163036106,https://www.acnc.gov.au/charity/70d04137ecd41f94a818d537c04d7284
Newport Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            Newport          ","
            NSW          ",56603611439,https://www.acnc.gov.au/charity/0511bacdf468f03b7fca9da03eec7f1d
Nobbys Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Newcastle          ","
            NSW          ",70118833592,https://www.acnc.gov.au/charity/8c6005baf03e0ec95ed55ca03b79decc
